volume,day,type,tx_count,avg_volume,min_volume,max_volume
8573.4,11/02/21,Spot Trade,14,612.385519357857,8573.39727101,8573.39727101
415.56,11/02/21,UnLend,4,103.889607995,415.55843198,415.55843198
,10/02/21,Close Margin Trade,2,,,
,10/02/21,Increase Margin,3,,,
,10/02/21,Lend,1,,,
144.47,10/02/21,Margin Trade,7,20.6386916642857,144.47084165,144.47084165
276.37,10/02/21,Spot Trade,10,27.637419891,276.37419891,276.37419891
86.91,09/02/21,Close Margin Trade,8,10.86341067375,86.90728539,86.90728539
415.49,09/02/21,Lend,6,69.2483719916667,415.49023195,415.49023195
253.16,09/02/21,Margin Trade,5,50.631753438,253.15876719,253.15876719
145.9,09/02/21,Spot Trade,21,6.94758222428571,145.89922671,145.89922671
,09/02/21,UnLend,3,,,
,08/02/21,Borrow,2,,,
6011.72,08/02/21,Close Margin Trade,12,500.977057455833,6011.72468947,6011.72468947
,08/02/21,Increase Margin,1,,,
5889.21,08/02/21,Margin Trade,6,981.535518103333,5889.21310862,5889.21310862
6013.84,08/02/21,Spot Trade,33,182.237619613636,6013.84144725,6013.84144725
,08/02/21,UnLend,1,,,
,07/02/21,Borrow,3,,,
79.41,07/02/21,Close Margin Trade,4,19.852362755,79.40945102,79.40945102
,07/02/21,Increase Margin,1,,,
196.87,07/02/21,Margin Trade,9,21.8744768066667,196.87029126,196.87029126
387.73,07/02/21,Spot Trade,15,25.848562836,387.72844254,387.72844254
212.23,07/02/21,UnLend,1,212.22580125,212.22580125,212.22580125
116.88,06/02/21,Close Margin Trade,6,19.47945197,116.87671182,116.87671182
100.55,06/02/21,Lend,5,20.109327088,100.54663544,100.54663544
103.14,06/02/21,Margin Trade,7,14.7349882757143,103.14491793,103.14491793
125.66,06/02/21,Spot Trade,17,7.39203001588235,125.66451027,125.66451027
,06/02/21,UnLend,2,,,
191.63,05/02/21,Close Margin Trade,4,47.9067044875,191.62681795,191.62681795
,05/02/21,Lend,1,,,
292.47,05/02/21,Margin Trade,13,22.4977377076923,292.4705902,292.4705902
3462.26,05/02/21,Spot Trade,21,164.869341141905,3462.25616398,3462.25616398
,04/02/21,Close Margin Trade,2,,,
408.59,04/02/21,Lend,2,204.296139875,408.59227975,408.59227975
,04/02/21,Spot Trade,3,,,
,04/02/21,UnLend,1,,,
,03/02/21,Margin Trade,1,,,
245.02,03/02/21,Spot Trade,18,13.6121538683333,245.01876963,245.01876963
,03/02/21,UnLend,1,,,
,02/02/21,Close Margin Trade,2,,,
,02/02/21,Spot Trade,4,,,
411.59,02/02/21,UnLend,1,411.59227975,411.59227975,411.59227975
